rho_program,s,mu,b_met,SAM,met,tlogmu,resid,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,small_noncons_real,small_noncons_imag
0.0,33.60952172296648,2.143474469669437,64.3042340900831,14039.350091641443,22.79408891157591,0.0004737539284463,1.5535757683540666e-11,285.0861138120075,-4.415296412025395e-05,0.0,-4.415296412025395e-05,0.0
0.0,34.1095218052414,2.14396828955938,64.31904868678139,15008.887592363912,22.79462052356505,0.0015234022099971,1.1981601938693108e-11,319.4282046996428,-3.900861983692158e-05,0.0,-3.900861983692158e-05,0.0
0.0,34.60953198780455,2.145453771979329,64.36361315937988,18853.35656713251,22.79696748605108,0.0018884198595409,2.9924347860075033e-11,380.1844040368944,-2.549567065432605e-05,0.0,-2.549567065432605e-05,0.0
0.0,35.10957480872971,2.14720563700935,64.4161691102805,26636.559390107745,22.801123226722822,0.0013977521805956,5.21915679882771e-10,489.2308248009551,-1.3296537344541112e-05,0.0,-1.3296537344541112e-05,0.0
0.0,35.60960594975728,2.148496793221949,64.45490379665847,37716.63367592403,22.80509916836445,0.0010239785721934,2.5972426332083766e-10,670.7738565013399,-6.852993753953147e-06,0.0,-6.852993753953147e-06,0.0
0.0,36.10962698081982,2.149438893517683,64.48316680553049,53494.32154822962,22.80846487502017,0.0007432185880723,1.1041586797711248e-10,926.9168050194684,-3.496308999439147e-06,0.0,-3.496308999439147e-06,0.0
0.0,36.60964023759188,2.150120289995079,64.50360869985236,75963.5200920302,22.81113361262627,0.0005351902910705,4.7730425388731615e-11,1289.691038985761,-1.7688798383082576e-06,0.0,-1.7688798383082576e-06,0.0
0.0,37.10964811418653,2.150609544550452,64.51828633651357,107963.01983458208,22.81316730330068,0.0003829269991626,1.527373612439412e-11,1804.7180315714616,-8.889809688249521e-07,0.0,-8.889809688249521e-07,0.0
0.0,37.60965257542337,2.150958805808849,64.52876417426548,153535.09074871187,22.81467768892743,0.000272616118782,9.273339789810716e-12,2536.9322136326628,-4.444836729062094e-07,0.0,-4.444836729062094e-07,0.0
0.0,38.10965500997534,2.1512070207317,64.536210621951,218436.1228085177,22.81578023223436,0.0001933484319544,1.4728245548522902e-11,3578.751772339256,-2.213791912789307e-07,0.0,-2.213791912789307e-07,0.0
0.0,38.6096563017595,2.1513828339980905,64.54148501994271,310863.77124491986,22.816575623015066,0.0001367440679843,8.692824826706681e-12,5061.730536019785,-1.0994777189733453e-07,0.0,-1.0994777189733453e-07,0.0
0.0,39.109656973107846,2.151507057887464,64.54521173662393,442492.4338516705,22.817144772409616,9.651271911495512e-05,8.692795036955585e-12,7173.160936973186,-5.4489912096290783e-08,0.0,-5.4489912096290783e-08,0.0
0.0,39.60965731677859,2.151594673452349,64.54784020357047,629947.8485887415,22.81754973210511,6.801689001317836e-05,8.692773206115716e-12,10179.722694730708,-2.6966916204254242e-08,0.0,-2.6966916204254242e-08,0.0
0.0,40.10965749080229,2.151656389532277,64.54969168596831,896907.06896784,22.81783673141817,4.788372432837364e-05,8.692758705636993e-12,14461.162152173958,-1.3331960881463497e-08,0.0,-1.3331960881463497e-08,0.0
0.0,40.60965757823882,2.151699822160508,64.55099466481524,1277089.0649301256,22.81803956957454,3.368455339047838e-05,1.1733740140548838e-11,20558.254774836787,-6.592287781295595e-09,0.0,-6.592287781295595e-09,0.0
0.0,41.109657621927866,2.151730367864213,64.55191103592641,1818513.688245884,22.81818264925912,2.368322744292216e-05,1.5840549189740932e-11,29241.107941247523,-3.2582375511674155e-09,0.0,-3.2582375511674155e-09,0.0
0.0,41.60965764367231,2.1517518403944056,64.55255521183217,2589566.9439902725,22.818283439206382,1.6645099418594045e-05,8.692731287788324e-12,41606.43066956463,-1.5952000288121167e-09,0.0,-1.5952000288121167e-09,0.0
0.0,42.10965765446475,2.1517669298778515,64.55300789633554,3687638.658917186,22.818354371392303,1.1695418601104237e-05,2.2880793274070235e-11,59216.055906502894,-8.198305186149623e-10,0.0,-8.198305186149623e-10,0.0
