rM,rF,rH,residual,alpha,alpha_imag,SAM,Put,Spd,Spm
0.0,1.0,0.5,5.67726367250998e-07,-0.013141516718787613,0.0,59.67048782009602,104.1539648408038,81.73414489515406,61.951485601933165
0.0,1.0,0.75,4.2394214005980757e-07,-0.012494856557108204,0.0,57.21380781569085,107.21788206443527,82.770089907412,62.225470090445754
0.0,1.0,1.0,2.6256365259769154e-07,-0.012206072456459835,0.0,54.886505744077546,110.36059237036262,83.7887630020244,62.48708286178082
0.25,1.0,1.0,3.131191306238179e-09,-0.012272191983699887,0.0,52.79753877318503,113.4058531857196,84.73591531067406,62.72342508217724
0.25,1.0,0.75,5.567399341543933e-08,-0.012568854083711525,0.0,54.76601555252621,110.53021878895255,83.8425325908218,62.50067767816011
0.25,1.0,0.5,7.872419161003563e-08,-0.013230502234125077,0.0,56.819547781820745,107.73302938798392,82.94004461412273,62.26965394866534
0.25,1.0,0.25,1.0595690724812812e-07,-0.014344780909123141,0.0,58.965844663422516,105.00796022279008,82.02729105901246,62.02983090387441
0.25,1.0,0.0,1.4993712937894088e-07,-0.016036973763695863,0.0,61.21860032504245,102.34333412643379,81.10099811401294,61.78007147415902
0.25,0.75,0.0,7.487077624546146e-11,-0.01602780785023658,0.0,61.33068638338792,101.62826937932877,80.50998833133404,61.44909018166839
0.25,0.75,0.25,7.855859109895391e-07,-0.014333343936876103,0.0,59.14018723376899,103.83647636790447,81.07730295780222,61.499997812706525
0.25,0.75,0.5,5.207963482689593e-07,-0.013217035664116467,0.0,57.051410665239956,106.096759643009,81.63885075658405,61.546930206537
0.25,0.75,0.75,3.341584289273669e-07,-0.012552898673996423,0.0,55.05146837000992,108.4183038865294,82.19644807045987,61.590139082756224
0.25,0.75,1.0,2.0726516680724671e-07,-0.012252564742797312,0.0,53.133034362551314,110.80607528047065,82.75069405729845,61.62974743808163
0.25,0.5,1.0,6.904548044417425e-10,-0.012233727563828315,0.0,53.45886005134754,108.30556598345962,80.83498200986911,60.569514628258524
0.25,0.5,0.75,5.922498047539193e-08,-0.012537603836241655,0.0,55.327285948836604,106.39362429095996,80.61427171873699,60.71155429636292
0.25,0.5,0.5,8.527007366865291e-08,-0.013204147879576477,0.0,57.27428483932546,104.53348737067897,80.39330203353595,60.852951329224354
0.25,0.5,0.25,1.1116434706082146e-07,-0.014322425283772418,0.0,59.30686790412712,102.72140999777686,80.17186065959211,60.99383579861244
0.25,0.5,0.0,1.466137362626796e-07,-0.016019082666734498,0.0,61.437234463947746,100.95040211883922,79.9492844659315,61.134618925260106
0.25,0.25,0.0,4.7267967318020965e-11,-0.016010773367864068,0.0,61.53858457766764,100.30727739734117,79.41692355252422,60.83562069660501
0.25,0.25,0.25,7.30573106011434e-07,-0.014312001721455615,0.0,59.466238477089014,101.65968579839566,79.30863882354743,60.51018169439485
0.25,0.25,0.5,4.815733234408981e-07,-0.013191818649919746,0.0,57.48843830621025,103.04002102153997,79.20117147953476,60.186682708452366
0.25,0.25,0.75,2.9546672664082507e-07,-0.012522951423110273,0.0,55.59358757743032,104.45325525081635,79.09421023694689,59.864180567903595
0.25,0.25,1.0,1.7327791113075364e-07,-0.012215663455357247,0.0,53.77494394315979,105.90195772753506,78.98765533755733,59.542365335765254
