tau,k,a,Y,rho,dom_real,dom_imag,npos
24.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.012575911208557805,0.0,0
24.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.0098449768411328,0.0,0
24.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.006800604571246859,0.0,0
24.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.0037725563219134853,0.0,0
24.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.0010504435086129515,0.0,0
24.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.0012316692463554626,0.0,1
24.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.003063265198295043,0.0,1
24.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.004479527604071557,0.0,1
24.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.005523050457006461,0.0,1
24.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.0062324258121816715,0.0,1
24.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.006640435975573484,0.0,1
24.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.006774846532874903,0.0,1
24.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.006659617751886424,0.0,1
24.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.006315958648596827,0.0,1
24.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.00576312465308412,0.0,1
24.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.005018986163759596,0.0,1
24.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.004100418992765869,0.0,1
24.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.0030235636855281117,0.0,1
24.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.0018039914859168205,0.0,1
24.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.00045680272414220526,0.0,1
24.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.0010033287855992653,0.0,0
24.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.002562175654992177,0.0,0
24.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.004206098411717706,0.0,0
24.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.005922520048222503,0.0,0
24.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.00770157837240141,0.0,0
24.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.009543897608076694,0.0,0
24.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.01155701677255749,0.0,0
