policy,rho,s,mu,b_met,SAM,met,tlogmu,alpha,residual,ds
constant-total,1.0,12.177475331937645,6.383025168419078,191.49075505257233,3220.9137259183453,270.66883639368723,0.1554867378239312,-0.01112228763240618,7.503331289626658e-12,0.25
constant-total,1.0,12.427478138524455,6.637245183900383,199.1173555170115,3325.8237324473303,279.3657200682053,0.15696275333803117,-0.011122062492803791,2.02407017427851e-11,0.25
constant-total,1.0,12.677480691137744,6.9042190198309425,207.12657059492827,3431.232334162542,288.10474053810657,0.15853519373735703,-0.011121859012058906,5.357492227631155e-12,0.25
constant-total,1.0,12.927483020130817,7.184848069270562,215.54544207811688,3537.1060383317445,296.8829182721837,0.16021269752950373,-0.011121674912784324,4.661160346586257e-12,0.25
constant-total,1.0,13.177485152594572,7.480124955741427,224.4037486722428,3643.413423621003,305.69748035129044,0.16200448840460446,-0.011121508290180483,4.986839559816619e-12,0.25
constant-total,1.0,13.427487112855813,7.791145090282713,233.7343527084814,3750.1249288251315,314.54583788464237,0.1639204464154633,-0.01112135756135732,2.1819623035424578e-12,0.25
constant-total,1.0,13.677488922921752,8.119119984442065,243.57359953326196,3857.2126532988877,323.4255649552614,0.16597119814794556,-0.011121221423213397,5.573526566853869e-12,0.25
constant-total,1.0,13.927490602881905,8.465392651842789,253.96177955528367,3964.6501673702546,332.3343789384745,0.16816822616443772,-0.011121098818985273,4.091179319142108e-12,0.25
constant-total,1.0,14.177492171277825,8.831455500247326,264.9436650074198,4072.4123308819712,341.2701220093109,0.1705239988253175,-0.011120988912033102,1.5547205686487106e-11,0.25
constant-total,1.0,14.427493645450726,9.21897120271705,276.5691360815115,4180.475117860181,350.2307436324794,0.17305212244012994,-0.011120891066422577,1.378714466537536e-11,0.25
constant-total,1.0,14.677495041877096,9.629797145346101,288.89391436038306,4288.815445135006,359.2142838092295,0.1757675186022964,-0.011120804834186706,9.38699211259599e-12,0.25
constant-total,1.0,14.927496376502868,10.06601418641545,301.98042559246346,4397.411002520786,368.2188568359356,0.1786866305561864,-0.01112072994882832,1.818729721815473e-11,0.25
constant-total,1.0,15.177497665087836,10.529960635987123,315.8988190796137,4506.24008188389,377.2426353069982,0.18182766357889962,-0.01112066632599779,1.5253862182968483e-11,0.25
constant-total,1.0,15.42749892357369,11.024272586986884,330.7281776096065,4615.281402060851,386.283834066873,0.18521086568613887,-0.01112061407138837,9.093648609077364e-12,0.25
constant-total,1.0,15.677500168491706,11.551932013490942,346.55796040472825,4724.5139261101085,395.3406937796516,0.1888588565589317,-0.011120573497813039,9.093648609077364e-12,0.25
constant-total,1.0,15.927501417430014,12.116324419167707,363.4897325750312,4833.916666749936,404.4114637362129,0.19279701451736936,-0.01112054515340553,1.496051867944986e-11,0.25
constant-total,1.0,16.177502689584937,12.72130830823284,381.63924924698523,4943.468477361262,413.49438364962873,0.197053934837414,-0.011120529864084759,2.655084935841094e-10,0.25
constant-total,1.0,16.42750400643407,13.37129928671036,401.13897860131084,5053.14780825191,422.58766272634307,0.2016619679459314,-0.011120528796178013,3.814113125748282e-10,0.25
constant-total,1.0,16.677505392563067,14.07137268683283,422.1411806049849,5162.932456464932,431.6894583360073,0.20665787284265244,-0.011120543546891102,5.11083306477533e-10,0.25
constant-total,1.0,16.927506876721232,14.827389256533788,444.82167769601364,5272.7992516391205,440.7978494891361,0.21208358698093382,-0.011120576275709181,6.586343330400822e-10,0.25
constant-total,1.0,17.17750849317386,15.646150352931762,469.3845105879529,5382.72370220467,449.9108071206309,0.21798715830870635,-0.011120629897346392,8.294172615172373e-10,0.25
